Date,Time,Theater,Film,Runtime,isAlmostSoldOut,posterDynamic,first_seen_date,last_updated,source
10/31/2025,7:00PM,The Beacon,Five Minutes To Live!,120ish,None,None
10/02/2025,7:30PM,The Beacon,The Strange Vice Of Mrs. Wardh,100,None,None
10/03/2025,4:00PM,The Beacon,The Strange Vice Of Mrs. Wardh,100,None,None
09/19/2025,4:00PM,The Beacon,Rent The Beacon,150 min.,None,None
09/20/2025,10:00AM,The Beacon,Rent The Beacon,150 min.,None,None
09/20/2025,1:00PM,The Beacon,Rent The Beacon,150 min.,None,None
09/26/2025,4:00PM,The Beacon,Rent The Beacon,150 min.,None,None
09/27/2025,10:00AM,The Beacon,Rent The Beacon,150 min.,None,None
09/28/2025,11:00AM,The Beacon,Rent The Beacon,150 min.,None,None
10/02/2025,4:30PM,The Beacon,Rent The Beacon,150 min.,None,None
10/05/2025,11:00AM,The Beacon,Rent The Beacon,150 min.,None,None
10/10/2025,4:00PM,The Beacon,Rent The Beacon,150 min.,None,None
10/11/2025,10:00AM,The Beacon,Rent The Beacon,150 min.,None,None
10/24/2025,4:00PM,The Beacon,Rent The Beacon,150 min.,None,None
10/25/2025,10:00AM,The Beacon,Rent The Beacon,150 min.,None,None
11/01/2025,10:00PM,The Beacon,Rent The Beacon,150 min.,None,None
11/01/2025,1:00PM,The Beacon,Rent The Beacon,150 min.,None,None
11/02/2025,11:00AM,The Beacon,Rent The Beacon,150 min.,None,None
11/14/2025,4:00PM,The Beacon,Rent The Beacon,150 min.,None,None
11/22/2025,10:00AM,The Beacon,Rent The Beacon,150 min.,None,None
11/22/2025,1:00PM,The Beacon,Rent The Beacon,150 min.,None,None
11/23/2025,11:00AM,The Beacon,Rent The Beacon,150 min.,None,None
11/28/2025,4:00PM,The Beacon,Rent The Beacon,150 min.,None,None
11/29/2025,10:00AM,The Beacon,Rent The Beacon,150 min.,None,None
11/29/2025,1:00PM,The Beacon,Rent The Beacon,150 min.,None,None
11/29/2025,4:00PM,The Beacon,Rent The Beacon,150 min.,None,None
11/30/2025,11:00AM,The Beacon,Rent The Beacon,150 min.,None,None
11/30/2025,8:00PM,The Beacon,Rent The Beacon,150 min.,None,None
10/25/2025,10:00PM,The Beacon,The Living Dead Girl,86,None,None
10/18/2025,10:00PM,The Beacon,Vampire'S Kiss,103,None,None
10/22/2025,4:30PM,The Beacon,Vampire'S Kiss,103,None,None
10/23/2025,4:30PM,The Beacon,Vampire'S Kiss,103,None,None
11/10/2025,7:30PM,The Beacon,Didn'T Do It For Love,81,None,None
11/11/2025,4:00PM,The Beacon,Didn'T Do It For Love,81,None,None
10/10/2025,7:00PM,The Beacon,J-Horror Double Feature: Ring + Ju-On,188,None,None
10/04/2025,10:00PM,The Beacon,Secs Fest Presents Through The Looking Glass,91,None,None
10/26/2025,2:00PM,The Beacon,The Haunting,114,None,None
10/27/2025,4:30PM,The Beacon,The Haunting,114,None,None
10/03/2025,7:00PM,The Beacon,Re-Animator,86,None,None
10/04/2025,7:00PM,The Beacon,Re-Animator,86,None,None
10/06/2025,7:30PM,The Beacon,Re-Animator,86,None,None
09/26/2025,10:00PM,The Beacon,The Telephone Book,80 MINUTES,None,None
09/27/2025,10:00PM,The Beacon,The Telephone Book,80 MINUTES,None,None
09/20/2025,7:00PM,The Beacon,In The Realm Of The Senses,105 MINUTES,None,None
09/24/2025,7:30PM,The Beacon,In The Realm Of The Senses,105 MINUTES,None,None
10/26/2025,5:00PM,The Beacon,The Monster Squad,82,None,None
10/30/2025,4:30PM,The Beacon,The Monster Squad,82,None,None
09/19/2025,10:00PM,The Beacon,Alucarda,77 MINUTES,None,None
09/20/2025,10:00PM,The Beacon,Alucarda,77 MINUTES,None,None
10/24/2025,10:00PM,The Beacon,The Wicked City,96,None,None
09/17/2025,7:30PM,The Beacon,Eno,approximately 80,None,None
11/03/2025,7:30PM,The Beacon,My Father Is Coming,82,None,None
11/04/2025,4:30PM,The Beacon,My Father Is Coming,82,None,None
10/09/2025,7:30PM,The Beacon,Shock,95,None,None
10/10/2025,4:00PM,The Beacon,Shock,95,None,None
10/19/2025,2:00PM,The Beacon,The Man Who Laughs,110,None,None
10/20/2025,4:30PM,The Beacon,The Man Who Laughs,110,None,None
09/21/2025,5:00PM,The Beacon,The Gleaners And I,82 MINUTES,None,None
09/24/2025,4:30PM,The Beacon,The Gleaners And I,82 MINUTES,None,None
09/25/2025,7:30PM,The Beacon,The Gleaners And I,82 MINUTES,None,None
09/28/2025,5:00PM,The Beacon,The Lovers On The Bridge,126 MINUTES,None,None
09/29/2025,7:30PM,The Beacon,The Lovers On The Bridge,126 MINUTES,None,None
10/01/2025,4:30PM,The Beacon,The Lovers On The Bridge,126 MINUTES,None,None
09/22/2025,7:30PM,The Beacon,Identikit,102 MINUTES,None,None
09/23/2025,3:30PM,The Beacon,Identikit,102 MINUTES,None,None
09/25/2025,4:30PM,The Beacon,Identikit,102 MINUTES,None,None
10/05/2025,5:00PM,The Beacon,Linda Linda Linda,114 MINUTES,None,None
10/07/2025,4:30PM,The Beacon,Linda Linda Linda,114 MINUTES,None,None
10/08/2025,7:30PM,The Beacon,Linda Linda Linda,114 MINUTES,None,None
10/09/2025,4:30PM,The Beacon,Linda Linda Linda,114 MINUTES,None,None
10/03/2025,10:00PM,The Beacon,The Addiction,82,None,None
10/08/2025,4:30PM,The Beacon,The Addiction,82,None,None
09/16/2025,4:30PM,The Beacon,Trouble Every Day,101 MINUTES,None,None
09/18/2025,7:30PM,The Beacon,Trouble Every Day,101 MINUTES,None,None
09/21/2025,2:00PM,The Beacon,The Breaking Point,97 MINUTES,None,None
09/22/2025,4:30PM,The Beacon,The Breaking Point,97 MINUTES,None,None
10/28/2025,7:30PM,The Beacon,Virgin Machine,84,None,None
10/29/2025,4:30PM,The Beacon,Virgin Machine,84,None,None
10/20/2025,7:30PM,The Beacon,Seduction: The Cruel Woman,84,None,None
10/21/2025,4:30PM,The Beacon,Seduction: The Cruel Woman,84,None,None
10/24/2025,7:00PM,The Beacon,Near Dark,95,None,None
10/25/2025,7:00PM,The Beacon,Near Dark,95,None,None
10/28/2025,4:30PM,The Beacon,Near Dark,95,None,None
10/05/2025,2:00PM,The Beacon,Blithe Spirit,96,None,None
09/16/2025,7:30PM,The Beacon,Four Nights Of A Dreamer,82 MINUTES,None,None
09/17/2025,4:30PM,The Beacon,Four Nights Of A Dreamer,82 MINUTES,None,None
09/18/2025,4:30PM,The Beacon,Four Nights Of A Dreamer,82 MINUTES,None,None
09/26/2025,7:00PM,The Beacon,Titane,108 MINUTES,None,None
09/27/2025,7:00PM,The Beacon,Titane,108 MINUTES,None,None
09/30/2025,4:30PM,The Beacon,Titane,108 MINUTES,None,None
09/28/2025,2:00PM,The Beacon,Touch Of Evil,111 MINUTES,None,None
09/29/2025,4:30PM,The Beacon,Touch Of Evil,111 MINUTES,None,None
09/30/2025,7:30PM,The Beacon,Touch Of Evil,111 MINUTES,None,None
09/17/2025,7:30 PM,SIFF Cinema Downtown,STAR WARS: RETURN OF THE JEDI,136,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/Star%20Wars%20Ultimate%20Cinematic%20Marathon/ReturnoftheJedi.jpg,,,
12/03/2025,6:00 PM,SIFF Cinema Uptown,SIFF Movie Club: The Night of the Hunter (70th Anniversary),93,None,https://www.siff.net/images/CINEMA/2025/Movie%20Club/CIN_SMC-NightoftheHunter_1600x900.jpg,,,
09/17/2025,4:00 PM,SIFF Cinema Downtown,STAR WARS: ATTACK OF THE CLONES,143,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/Star%20Wars%20Ultimate%20Cinematic%20Marathon/AttackoftheClones.jpg,,,
09/25/2025,7:45 PM,SIFF Cinema Downtown,One Battle After Another,161,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_OneBattleAfterAnother_1600x900.jpg,,,
09/26/2025,4:00 PM,SIFF Cinema Downtown,One Battle After Another,161,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_OneBattleAfterAnother_1600x900.jpg,,,
09/26/2025,7:45 PM,SIFF Cinema Downtown,One Battle After Another,161,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_OneBattleAfterAnother_1600x900.jpg,,,
09/27/2025,12:15 PM,SIFF Cinema Downtown,One Battle After Another,161,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_OneBattleAfterAnother_1600x900.jpg,,,
09/27/2025,4:00 PM,SIFF Cinema Downtown,One Battle After Another,161,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_OneBattleAfterAnother_1600x900.jpg,,,
09/27/2025,7:45 PM,SIFF Cinema Downtown,One Battle After Another,161,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_OneBattleAfterAnother_1600x900.jpg,,,
09/28/2025,12:15 PM,SIFF Cinema Downtown,One Battle After Another,161,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_OneBattleAfterAnother_1600x900.jpg,,,
09/28/2025,4:00 PM,SIFF Cinema Downtown,One Battle After Another,161,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_OneBattleAfterAnother_1600x900.jpg,,,
09/28/2025,7:45 PM,SIFF Cinema Downtown,One Battle After Another,161,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_OneBattleAfterAnother_1600x900.jpg,,,
09/29/2025,4:00 PM,SIFF Cinema Downtown,One Battle After Another,161,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_OneBattleAfterAnother_1600x900.jpg,,,
09/29/2025,7:45 PM,SIFF Cinema Downtown,One Battle After Another,161,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_OneBattleAfterAnother_1600x900.jpg,,,
09/30/2025,4:00 PM,SIFF Cinema Downtown,One Battle After Another,161,None,https://www.siff.net/images/CINEMA/2025/Film%20Jun-Dec/CIN_OneBattleAfterAnother_1600x900.jpg,,,
